!! Abja-Paluoja
Mädarõika tänav
Mäe tänav
Männi tänav
Männiku tänav
Männipuu tänav
Märdi tänav
Mööbli tänav

Narva tänav
Nelgi tänav
Nurme tänav

Odra tänav
Oja tänav
Ojaperve tänav
Oru tänav

Pagari tänav
Paju tänav
Palu põik
Pargi tänav
Pedeli tänav
Peebu tänav
Peetri tänav
Perve tänav
Petseri tänav
Pihlaka tänav
Piiri tänav
Pikk tänav
Pipra tänav
Pirni tänav
Pirnipuu tänav
Ploomi tänav
Ploomipuu tänav
Puiestee tänav
Puu tänav
Pärna puiestee
Pärnu tänav
Pääsusilma tänav
Põhja tänav
Põik tänav
Põllu tänav

Rahu tänav
Raja tänav
Raudtee tänav
Ravila tänav
Redise tänav
Riia tänav
Riisali tänav
Roheline tänav
Roosi tänav
Räni tänav
Rükkeli tänav

Saare tänav
Sambla tänav
Savi tänav
Saviaugu tänav
Sepa tänav
Siguri tänav
Sinepi tänav
Sinilille tänav
Sireli tänav
Soo tänav
Spordi tänav
Sulevi tänav
Suve tänav
Sõpruse tänav
Sügise tänav

Talve tänav
Tambre tänav
Tartu tänav
Tehase tänav
Tehnika tänav
Telliskivi tänav
Tibina tänav
Tiigi tänav
Tolli tänav
Toogi tänav
Toogi põik
Toominga tänav
Torni tänav
Transpordi tänav
Tulbi tänav
Turu tänav
Tuubi tänav
Tuule tänav
Tähe tänav
Tõrva tänav
Tööstuse tänav

Umb tänav
Uus tänav
Uus-Koidu tänav

Vaarika tänav
Vabaduse tänav
Vahe tänav
Vahtra tänav
Vaikne tänav
Vainu tänav
Valguse tänav
Valli tänav
Vana-Tambre tänav
Vee tänav
Veski tänav
Viadukti tänav
Videviku tänav
Viinamarja tänav
Viljandi tänav
Võnnu tänav
Võru tänav
Võsa tänav
Väike-Köie tänav
Väike-Laatsi tänav
Väike-Lepa tänav
Väike-Nelgi tänav
Välja tänav

Õhtu tänav
Õunapuu tänav

Ülase tänav

!! Viljandi
Aasa tänav
Aia tänav
Allika põik
Allika tänav
Anton Irve tänav
August Maramaa puiestee
Carl Robert Jakobsoni tänav
Edela tänav
Eha tänav
Endla tänav
Hariduse tänav
Heina tänav
Hiie puiestee
Hiire tänav
Huntaugu tänav
Ida tänav
Ilmarise tänav
Itaalia tänav
Jalaka tänav
Johann Köleri tänav
Johan Laidoneri plats
Juhan Kunderi tänav
Juhan Liivi tänav
Järve tänav
Järveotsa puiestee
Kaalu tänav
Kaevu tänav
Kagu tänav
Kaja tänav
Kalda puiestee
Kalda põik
Kalevi tänav
Kalmu tänav
Kalvi tänav
Kanepi tänav
Karja tänav
Kase tänav
Kastani tänav
Kauba tänav
Kauge tänav
Kesk-Kaare tänav
Keskuse tänav
Kevade tänav
Kiriku tänav
Kirsi põik
Kirsi tänav
Kivi tänav
Kodu tänav
Koidu tänav
Kolde tänav
Kooli tänav
Kooliaia tänav
Kopli tänav
Kraavi tänav
Kreegi tänav
Kullamäe tänav
Kungla tänav
Kõpu tänav
Kõrgemäe tänav
Kõue tänav
Köstri tänav
Külvi tänav
Künni tänav
Lembitu puiestee
Lennuki tänav
Leola tänav
Lepa tänav
Liiva tänav
Lille tänav
Lina põik
Lina tänav
Linnu tänav
Lohu tänav
Loode tänav
Looga tänav
Loojangu tänav
Lossi tänav
Luha tänav
Lutsu tänav
Lõikuse tänav
Lõuna tänav
Lääne tänav
Lühike tänav
Lydia Koidula tänav
Maasika tänav
Mai tänav
Malmi tänav
Marmori tänav
Meeme tänav
Metalli tänav
Metsküla tee
Mihkel Veske puiestee
Mooni tänav
Munga tänav
Mureli tänav
Musta tee
Mäe tänav
Männi tänav
Männimäe tee
Niidu tänav
Nisu tänav
Nurme tänav
Näituse põik
Näituse tänav
Oja tee
Oru tänav
Paala tee
Paistu tänav
Paisu tänav
Papli tänav
Pargi tänav
Pihlaka tänav
Piiri põik
Piiri tänav
Pikk tänav
Pirni tänav
Planeedi tänav
Ploomi tänav
Posti tänav
Puidu tänav
Puiestee tänav
Põhja puiestee
Põllu tänav
Põltsamaa tee
Pähkli tänav
Päikese tänav
Pärna tänav
Pärnu maantee
Ranna puiestee
Raua tänav
Raudtee tänav
Ravila tänav
Rehe tänav
Reinu põik
Reinu tee
Riia maantee
Roheline tänav
Roo tänav
Roosi tänav
Saare tänav
Savi tänav
Sepa tänav
Supeluse tänav
Suur-Kaare tänav
Suve tänav
Sõstra tänav
Talli tänav
Tallinna tänav
Tamme tänav
Tammela tänav
Tare tänav
Tartu tänav
Tasuja puiestee
Tehnika tänav
Terase tänav
Tina tänav
Toome tänav
Trepimägi
Tuisu tänav
Turu tänav
Tuule tänav
Tuule põik
Tähe tänav
Tööstuse tänav
Ugala puiestee
Uku tänav
Uueveski tee
Uus tänav
Vabarna tänav
Vabriku tänav
Vahe tänav
Vahtra tänav
Vaikuse tänav
Vaksali tänav
Valuoja puiestee
Vana-Vaksali tänav
Vase tänav
Veere tänav
Vene tänav
Vesiflirdi allee
Vikerkaare tänav
Vilja tänav
Väike tänav
Väike-Kaare tänav
Väike-Turu tänav
Õie tänav
Õuna tänav

!! Võhma
Aasa tänav
Aia tänav

Eha tänav

Heina tänav

Jaama tänav

Kalevi tänav
Kase tänav
Kastani tänav
Kauba tänav
Kirsi tänav
Koidu tänav
Kreegi tänav

Lai tänav
Lille põik
Lille tänav
Loigu tänav

Metsa tänav
Mooni tänav

Niidu tänav

Pargi tänav
Ploomi tänav
Pärna tänav

Raudtee tänav
Ristiku tänav
Rukkille tänav

Sepa tänav
Silla tänav
Soo tänav
Spordi tänav

Tallinna tänav
Tartu tänav
Tooma tänav

Veski tänav
Viljandi tänav
Väike tänav

Õuna tänav

!! Võru
Aasa tänav
Aida tänav
Allika tänav

Ekspordi tänav
Eterniidi tänav

Friedrich Reinhold Kreutzwaldi tänav

Heina tänav
Heina põik
Herne tänav
Humala tänav

Jaama tänav
Jalaka tänav
Jõe tänav
Jõhvika tänav
Järve tänav
Järve põik
Jüri tänav


Kaare tänav
Kadaka tänav
Kaevu tänav
Kalda tänav
Kalevi põik
Kalevipoja
Kalmuse tänav
Kanarbiku tänav
Kanepi tänav
Karja tänav
Karja põik
Kase tänav
Katariina allee
Kesa tänav
Kesk tänav
Kevade tänav
Kirsi tänav
Kivi tänav
Kivimurru tänav
Kooli tänav
Koreli tänav
Kose tee
Kraavi tänav
Kruusa tänav
Kubja põik
Kubja tee
Kuuse tänav
Käbi tänav

Laane tänav
Lauluväljaku tänav
Leesika tänav
Lembitu tänav
Lepa tänav
Liitva tänav
Liiva tänav
Lille tänav
Lina tänav
Linda tänav
Linnu tänav
Loo tänav
Lubja tänav
Luha tänav
Lydia Koidula tänav
Lühike tänav

Madara tänav
Metsa tänav
Mulla tänav
Muraka tänav
Mäe tänav
Mäe põik
Männiku tänav
Mündi tänav

Niidu tänav
Niine tänav
Nõgese tänav
Nõmme tänav

Oja tänav
Okka tänav
Oksa tänav
Olevi tänav
Orase tänav

Pae tänav
Paju tänav
Petseri tänav
Piiri tänav
Pikk tänav
Punga tänav
Pärna tänav
Põllu tänav

Raami tänav
Raba tänav
Raudtee tänav
Ringtee tänav
Roo tänav
Roo põik
Roopa tänav
Roosi tänav
Roosi põik
Räpina maantee

Salme tänav
Savi tänav
Seminari tänav
Silikaadi tänav
Sinika tänav
Soo tänav
Sulevi tänav
Sügise tänav

Taara tänav
Tallinna maantee
Tamme tänav
Tamula tänav
Tartu tänav
Telliskivi tänav
Tiigi tänav
Toome tänav
Tulbi tänav
Tulika tänav
Turba tänav
Tööstuse tänav

Uus tänav

Vabaduse tänav
Vabriku tänav
Vee tänav
Veski tänav
Veskijärve tänav
Veskioja tänav
Viki tänav
Vilja tänav
Vindi tänav
Väike tänav
Võlsi põik
Võlsi tee

Ülase tänav
